2025-03-14 09:03:01,993 - INFO - Starting script execution
2025-03-14 09:03:01,993 - INFO - Working directory: /opt/github_public_repo/Audit-Collections-Users-Linux/python_handler/responsibility_list_pars
2025-03-14 09:03:01,993 - INFO - Connected to database: untitled.db
2025-03-14 09:03:01,994 - ERROR - Responsibility file not found: /opt/github_public_repo/Audit-Collections-Users-Linux/python_handler/responsibility_list_pars/responsibility-list.txt
2025-03-14 09:03:01,994 - INFO - Script execution completed
2025-03-14 09:05:37,706 - INFO - Starting script execution
2025-03-14 09:05:37,706 - INFO - Working directory: /opt/github_public_repo/Audit-Collections-Users-Linux/python_handler/responsibility_list_pars
2025-03-14 09:05:37,706 - INFO - Connected to database: untitled.db
2025-03-14 09:05:37,706 - ERROR - Error processing line 1: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,706 - ERROR - Error processing line 2: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,706 - ERROR - Error processing line 3: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,706 - ERROR - Error processing line 4: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 5: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 6: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 7: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 8: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 9: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 10: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 11: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 12: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 13: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 14: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 15: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 16: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 17: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 18: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 19: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 20: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,707 - ERROR - Error processing line 21: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 22: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 23: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 24: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 25: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 26: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 27: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 28: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 29: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 30: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 31: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 32: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 33: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 34: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 35: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 36: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,708 - ERROR - Error processing line 37: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 38: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 39: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 40: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 41: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 42: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 43: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 44: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 45: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 46: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 47: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 48: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 49: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 50: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 51: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 52: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,709 - ERROR - Error processing line 53: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 54: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 55: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 56: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 57: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 58: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 59: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 60: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 61: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 62: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 63: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 64: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 65: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 66: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 67: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 68: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 69: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,710 - ERROR - Error processing line 70: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 71: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 72: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 73: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 74: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 75: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 76: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 77: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 78: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 79: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 80: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 81: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 82: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 83: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 84: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 85: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 86: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,711 - ERROR - Error processing line 87: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 88: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 89: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 90: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 91: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 92: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 93: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 94: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 95: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 96: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 97: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 98: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 99: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 100: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 101: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 102: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 103: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 104: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 105: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 106: a bytes-like object is required, not 'str'
